depth id strategy heuristic/moves solution_length visited processed max_depth solution_time(ms)
1 1 astr hamm 1 3 2 1 6.288
1 1 astr manh 1 3 2 1 6.457
1 1 bfs drlu 1 8 4 1 5
1 1 bfs drul 1 8 4 1 4.96
1 1 bfs ludr 1 3 2 1 4.954
1 1 bfs lurd 1 3 2 1 5.023
1 1 bfs rdlu 1 8 4 1 5.669
1 1 bfs rdul 1 8 4 1 4.935
1 1 bfs uldr 1 3 2 1 4.969
1 1 bfs ulrd 1 3 2 1 5.044
1 1 dfs drlu 1 3 2 1 7.041
1 1 dfs drul 1 3 2 1 6.958
1 1 dfs ludr 17 123078 117102 20 228.965
1 1 dfs lurd 19 179656 170350 20 318.603
1 1 dfs rdlu 1 3 2 1 6.687
1 1 dfs rdul 1 3 2 1 6.66
1 1 dfs uldr 19 197370 186928 20 344.891
1 1 dfs ulrd 19 122946 116984 20 240.482
1 2 astr hamm 1 3 2 1 6.144
1 2 astr manh 1 3 2 1 6.444
1 2 bfs drlu 1 8 4 1 5.04
1 2 bfs drul 1 8 4 1 5.04
1 2 bfs ludr 1 3 2 1 5.036
1 2 bfs lurd 1 3 2 1 4.986
1 2 bfs rdlu 1 8 4 1 4.817
1 2 bfs rdul 1 8 4 1 4.962
1 2 bfs uldr 1 3 2 1 4.907
1 2 bfs ulrd 1 3 2 1 4.944
1 2 dfs drlu 1 3 2 1 6.808
1 2 dfs drul 1 3 2 1 7.242
1 2 dfs ludr 19 122946 116984 20 229.938
1 2 dfs lurd 19 197370 186928 20 354.255
1 2 dfs rdlu 1 3 2 1 6.77
1 2 dfs rdul 1 3 2 1 6.638
1 2 dfs uldr 19 179656 170350 20 323.579
1 2 dfs ulrd 17 123078 117102 20 229.891
2 1 astr hamm 2 5 3 2 6.295
2 1 astr manh 2 5 3 2 6.547
2 1 bfs drlu 2 22 10 2 5.036
2 1 bfs drul 2 22 10 2 4.94
2 1 bfs ludr 2 9 5 2 4.968
2 1 bfs lurd 2 9 5 2 4.964
2 1 bfs rdlu 2 22 10 2 4.919
2 1 bfs rdul 2 22 10 2 5.034
2 1 bfs uldr 2 9 5 2 4.887
2 1 bfs ulrd 2 9 5 2 4.875
2 1 dfs drlu 2 5 3 2 6.864
2 1 dfs drul 2 5 3 2 6.64
2 1 dfs ludr 18 296 279 20 8.217
2 1 dfs lurd 20 42261 40474 20 89.45
2 1 dfs rdlu 2 5 3 2 6.811
2 1 dfs rdul 2 5 3 2 6.85
2 1 dfs uldr 20 65486 62472 20 124.903
2 1 dfs ulrd 20 62 47 20 7.052
2 2 astr hamm 2 6 3 2 6.085
2 2 astr manh 2 6 3 2 6.562
2 2 bfs drlu 2 30 13 2 4.881
2 2 bfs drul 2 30 13 2 4.997
2 2 bfs ludr 2 14 6 2 4.909
2 2 bfs lurd 2 17 8 2 4.908
2 2 bfs rdlu 2 33 15 2 4.903
2 2 bfs rdul 2 33 15 2 4.868
2 2 bfs uldr 2 14 6 2 4.95
2 2 bfs ulrd 2 17 8 2 4.991
2 2 dfs drlu 10 22 11 10 6.864
2 2 dfs drul 20 19699 18956 20 44.546
2 2 dfs ludr 20 93 76 20 7.033
2 2 dfs lurd 20 65474 62454 20 126.344
2 2 dfs rdlu 2 6 3 2 7.143
2 2 dfs rdul 2 6 3 2 6.739
2 2 dfs uldr 20 65476 62457 20 129.577
2 2 dfs ulrd 20 91 73 20 7.304
2 3 astr hamm 2 6 3 2 6.254
2 3 astr manh 2 6 3 2 6.72
2 3 bfs drlu 2 33 15 2 5.12
